host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
19951643,70,1,1,55,2283,f,2,2,t,1,f,2,1,1,1,1,1,25,55,1,f,2,no,14
301775154,72,11,24,349,397,f,14,14,t,1,f,6,1,2,4,2.333333333,19,49,79,11,t,6,yes,31
8154581,74,354,2,264,2647,t,0,0,t,1,t,2,1,1,1,1,24,54,84,88,f,4,no,33
34460513,74,104,6,4,1995,t,6,6,t,1,f,2,1,0,0,0.333333333,3,4,4,26,t,6,yes,35
6266448,74,89,1,61,2746,t,2,2,t,1,t,3,1,1,2,1.333333333,0,25,55,89,f,7,no,33
11447486,75,220,1,19,2489,t,1,1,t,1,t,2,1,1,0,0.666666667,0,0,5,36,f,5,no,38
156086844,75,7,16,339,1115,t,17,17,t,1,f,2,1,1,1,1,4,34,64,3,t,9,yes,41
215746618,75,33,14,28,788,f,19,19,t,1,f,4,1,1,1,1,0,0,28,17,f,6,yes,19
10902844,756,0,2,0,2509,t,3,3,t,1,t,14,4,6,6,5.333333333,0,0,0,0,t,5,no,23
53734115,79,87,1,0,1771,t,1,1,t,1,t,5,1,2,2,1.666666667,0,0,0,8,f,5,no,36
28645449,80,152,1,342,2082,f,1,1,t,1,t,2,1,0,1,0.666666667,21,44,74,55,t,5,no,26
17365265,80,68,2,0,2329,f,2,2,t,1,t,2,1,0,1,0.666666667,0,0,0,0,t,4,no,32
156086844,80,8,16,347,1115,t,17,17,t,1,f,2,1,1,1,1,12,42,72,3,t,9,yes,36
244986646,80,33,1,0,628,t,1,1,t,1,f,4,1,1,2,1.333333333,0,0,0,21,t,4,yes,18
16686835,80,0,1,329,2346,t,2,2,t,1,t,2,1,1,1,1,1,24,54,0,f,8,yes,25
261473396,80,0,2,152,549,f,0,0,f,0,f,4,1,0,1,0.666666667,7,32,62,0,t,5,yes,10
251405410,82,0,1,49,597,f,0,0,t,1,f,4,2,2,2,2,0,19,49,0,t,2,no,20
5671771,85,111,4,65,2786,t,7,7,t,1,f,2,1,1,3,1.666666667,5,35,65,23,t,9,yes,43
70871339,85,2,2,0,1649,f,2,2,t,1,f,2,1,1,1,1,0,0,0,0,t,7,yes,18
143548469,85,104,3,360,1200,t,3,3,t,1,f,2,1,1,1,1,30,60,90,43,t,3,no,42
215746618,85,38,14,24,788,f,19,19,t,1,f,4,1,1,1,1,0,0,24,10,f,6,yes,29
19130851,85,5,1,117,2298,f,1,1,t,1,f,3,1,1,2,1.333333333,0,0,0,5,f,7,no,15
8875994,85,11,17,326,2614,t,17,17,t,1,t,2,1,1,1,1,0,21,51,10,t,7,yes,30
3974279,85,45,10,0,2940,t,11,11,t,1,t,2,1,0,1,0.666666667,0,0,0,39,f,9,yes,26
96702700,88,162,3,170,1509,t,3,3,t,1,f,3,1,1,1,1,23,50,80,43,t,7,yes,33
230341823,88,22,1,22,701,t,2,2,t,1,t,4,1,0,2,1,0,0,0,21,f,4,yes,25
77112649,89,1,2,6,1615,f,2,2,t,1,t,4,1,1,2,1.333333333,0,0,0,0,t,6,no,17
21266463,89,393,2,38,2253,t,2,2,t,1,t,2,1,1,1,1,4,17,38,80,f,5,no,44
8875994,89,16,17,284,2614,t,17,17,t,1,t,3,1,1,1,1,0,0,9,4,f,7,yes,42
143548469,89,110,3,344,1200,t,3,3,t,1,f,4,1,1,1,1,26,56,80,55,t,3,no,38
